File,Transcript,Translation
T80,Aunty oode house rumbe nalla irruku la?,Aunty's house is very clean
D120,Appo  phone ai thatti vitta  sivakumar,that time he threw the phone from the hand
D183,double side-ye love pannathaan romba naalaa ready,i’m alwaysready for two side love
D193,Konjam sweet’ah sirichu pesaen ma,give me some sweet-loving talks
T92,Ennode earring design nalla irruka?,Is my earring design pretty?
D164,Enna na English’u,why english bro
T94,Peanuts venu ma saadpde?,Do you want to eats some peanuts?
D37,ivaruku thevai ilama oru fight scene padhatla,he is having a fight scene which isn't needed
T102,Tomorrow APMC market poulama nanchet irrke,I am planning to go to APMC market tomorrow
T8,All students auditoriumle assemble aayedge,All students assemble in the auditorium
T160,Office boy vaanda fan lela clean panna sulle,When office boy comes ask him to clean the fans
T74,Naan kaleyel brush pannave,I will brush tomorrow morning
D60,Nee pesa pesa kaayam aarume,as we speak my wounds will heal
D112,Ethirpartha alavukku illa...bgm,bgm is not the one which we expected
D156,White Skin-U Girl-U Girl-U,girl with a white skin
D7,"its your wish machi,if you ask me I will not recommend this restaurant,nan anga sapten","its your wish,if you ask me i will not recommend that restaurant,i have ate there several times."
T164,Jaidarshan yaa online class attend pannave ille 2 days aa?,Jaidarsha why are you not attending online class since last two days?
T139,Night turmeric milk saapdede roomba nalla du,Turmeric milk during night is very good for health
D11,nan padhika prepare paniten iruken,i am preparing for my studies
D181,ennaku bore adikkudhadi.,it’s boring
D104, but Rajesh neenga edhutha thungavanam padatha,but rajesh we look at thungavanam which you took
D82,stunts scenes nenacha dhan bayama iruku,thinking about the stunt scene is scary
D195,Mezhugu doll’u nee,you resemble a wax doll
T72,Body le soap podanum,Put soap on your body
D197,Handsome aalu nee,“you’re  handsome man
T114,Stomach pain vanna yenna seyanu?,What to do when your stomach pains?
D158,Maama Notes Eduthuko,"dude, take down notes"
T97,Naan oru good fellow,I am a good fellow
D90,Aana padatha release panna maatringale ,but not releasing the movie
T82,Naambe house ke interior konje change pannuma,We have to change our house design
D148,Nee Ennudaiya Røwdy,you are my rowdy
T77,Rainly season le rain shoe use pannu ma,Use rainy shoes during rainly season
D93,mass chiyaan vikramyamaan daakk na yaruu?,see who is great chiyan vikramayan
D70,romba heache inda movie yale,because of this movie i have headache
